candidate_id,name,primary_family,primary_title,years_experience,seniority,location,work_authorization,domain,top_skills,education_level,degree_major,last_updated,resume_text
CAND-1010,Priya Patel,ml_engineer,Applied Scientist,8,Senior,"Chicago, IL",H1B,EdTech,Azure;Chroma;Docker;FAISS;Feature engineering;Kubernetes;Pinecone;PyTorch;RAG;Vertex AI;scikit-learn,Bootcamp,Mathematics,2025-05-03,"Priya Patel — Senior ML Engineer
    Location: Chicago, IL
    Summary: Senior ML Engineer with 8 years of experience in EdTech. Strong in Azure, Chroma, Docker, FAISS.

    Experience:
    Umbrella Health (EdTech) — Senior ML Engineer
    - Migrated vector indexes for Logistics clients, improving key metrics by 2x.
- Migrated customer segmentation for Logistics clients, improving key metrics by 20%.
- Deployed fraud detection models for EdTech clients, improving key metrics by 15%.
- Improved forecasting pipelines for Insurance clients, improving key metrics by 25%.
- Tech: RAG, LangChain, Docker, Vertex AI, PyTorch.

    Skills: Azure, Chroma, Docker, FAISS, Feature engineering, Kubernetes, Pinecone, PyTorch, RAG, Vertex AI, scikit-learn
    Education: Bootcamp in Mathematics"
CAND-1011,Morgan Anderson,backend,Senior Software Engineer,5,Mid,"Austin, TX",Requires Sponsorship,Insurance,CI/CD;Django;Docker;FastAPI;Flask;GCP;Java;Microservices;Python;REST APIs;Redis;Spring;gRPC,Associate,Information Systems,2025-02-19,"Morgan Anderson — Software Engineer
    Location: Austin, TX
    Summary: Software Engineer with 5 years of experience in Insurance. Strong in CI/CD, Django, Docker, FastAPI.

    Experience:
    Wonka Digital (Insurance) — Software Engineer
    - Optimized recommendation models for Healthcare clients, improving key metrics by 20%.
- Migrated fraud detection models for Media clients, improving key metrics by 2x.
- Improved dashboards for Healthcare clients, improving key metrics by 50%.
- Improved recommendation models for Media clients, improving key metrics by 25%.
- Tech: Microservices, Kafka, GCP, AWS, Terraform.

    Skills: CI/CD, Django, Docker, FastAPI, Flask, GCP, Java, Microservices, Python, REST APIs, Redis, Spring, gRPC
    Education: Associate in Information Systems"
CAND-1012,Olivia Moore,backend,Software Engineer,7,Senior,"Atlanta, GA",Green Card,Logistics,AWS;CI/CD;Django;FastAPI;Java;Kafka;Kubernetes;Node.js;PostgreSQL;REST APIs;Redis;Spring;Terraform;gRPC,Associate,Computer Science,2025-11-25,"Olivia Moore — Backend Engineer
    Location: Atlanta, GA
    Summary: Backend Engineer with 7 years of experience in Logistics. Strong in AWS, CI/CD, Django, FastAPI.

    Experience:
    Hooli (Logistics) — Backend Engineer
    - Implemented monitoring alerts for Healthcare clients, improving key metrics by 50%.
- Migrated LLM-powered assistants for Media clients, improving key metrics by 3x.
- Improved LLM-powered assistants for Insurance clients, improving key metrics by 20%.
- Migrated LLM-powered assistants for Retail clients, improving key metrics by 20%.
- Improved dashboards for Logistics clients, improving key metrics by 3x.
- Tech: Kubernetes, AWS, REST APIs, Terraform, FastAPI.

    Skills: AWS, CI/CD, Django, FastAPI, Java, Kafka, Kubernetes, Node.js, PostgreSQL, REST APIs, Redis, Spring, Terraform, gRPC
    Education: Associate in Computer Science"
CAND-1013,Ava Davis,ml_engineer,Senior ML Engineer,5,Mid,"Seattle, WA",H1B,E-commerce,AWS;Chroma;FAISS;FastAPI;Feature engineering;Kubernetes;LangChain;MLflow;Monitoring;Pinecone;PyTorch;Python;RAG;Vector databases,PhD,Statistics,2025-10-25,"Ava Davis — MLOps Engineer
    Location: Seattle, WA
    Summary: MLOps Engineer with 5 years of experience in E-commerce. Strong in AWS, Chroma, FAISS, FastAPI.

    Experience:
    Stark Systems (E-commerce) — MLOps Engineer
    - Migrated API services for Logistics clients, improving key metrics by 15%.
- Designed forecasting pipelines for Media clients, improving key metrics by 20%.
- Built data quality checks for Healthcare clients, improving key metrics by 50%.
- Built experiment frameworks for Insurance clients, improving key metrics by 20%.
- Tech: Kubernetes, Python, FAISS, MLflow, AWS.

    Skills: AWS, Chroma, FAISS, FastAPI, Feature engineering, Kubernetes, LangChain, MLflow, Monitoring, Pinecone, PyTorch, Python, RAG, Vector databases
    Education: PhD in Statistics"
CAND-1014,Emma Anderson,backend,Senior Software Engineer,3,Mid,"Atlanta, GA",Requires Sponsorship,Logistics,AWS;Django;Docker;FastAPI;Flask;GCP;Java;Kubernetes;Microservices;PostgreSQL;Python;Redis;Spring;Terraform,BS,Electrical Engineering,2025-03-26,"Emma Anderson — Backend Engineer
    Location: Atlanta, GA
    Summary: Backend Engineer with 3 years of experience in Logistics. Strong in AWS, Django, Docker, FastAPI.

    Experience:
    Globex (Logistics) — Backend Engineer
    - Deployed vector indexes for FinTech clients, improving key metrics by 35%.
- Automated customer segmentation for EdTech clients, improving key metrics by 15%.
- Designed customer segmentation for FinTech clients, improving key metrics by 3x.
- Migrated forecasting pipelines for Retail clients, improving key metrics by 35%.
- Automated vector indexes for E-commerce clients, improving key metrics by 25%.
- Tech: AWS, Flask, CI/CD, PostgreSQL, Redis.

    Skills: AWS, Django, Docker, FastAPI, Flask, GCP, Java, Kubernetes, Microservices, PostgreSQL, Python, Redis, Spring, Terraform
    Education: BS in Electrical Engineering"
CAND-1015,Rahul Davis,genai,GenAI Engineer,11,Senior,"San Francisco, CA",Green Card,EdTech,Chroma;Docker;Evaluation;FAISS;Guardrails;Kubernetes;LangChain;LangGraph;OpenAI API;Pinecone;Prompt engineering;Python;RAG;Vertex AI,MS,Statistics,2025-08-13,"Rahul Davis — LLM Engineer
    Location: San Francisco, CA
    Summary: LLM Engineer with 11 years of experience in EdTech. Strong in Chroma, Docker, Evaluation, FAISS.

    Experience:
    Stark Systems (EdTech) — LLM Engineer
    - Delivered monitoring alerts for Media clients, improving key metrics by 10%.
- Built customer segmentation for Healthcare clients, improving key metrics by 50%.
- Optimized monitoring alerts for Cybersecurity clients, improving key metrics by 15%.
- Analyzed experiment frameworks for Cybersecurity clients, improving key metrics by 50%.
- Tech: FastAPI, Guardrails, Python, LLMs, Vector databases.

    Skills: Chroma, Docker, Evaluation, FAISS, Guardrails, Kubernetes, LangChain, LangGraph, OpenAI API, Pinecone, Prompt engineering, Python, RAG, Vertex AI
    Education: MS in Statistics"
CAND-1016,Sophia Garcia,ml_engineer,Senior ML Engineer,10,Senior,"New York, NY",US Citizen,Cybersecurity,CI/CD;Feature engineering;GCP;MLflow;Model deployment;Monitoring;RAG;SageMaker;TensorFlow;Vector databases;Vertex AI;scikit-learn,MS,Data Science,2025-05-12,"Sophia Garcia — Senior ML Engineer
    Location: New York, NY
    Summary: Senior ML Engineer with 10 years of experience in Cybersecurity. Strong in CI/CD, Feature engineering, GCP, MLflow.

    Experience:
    Umbrella Health (Cybersecurity) — Senior ML Engineer
    - Improved API services for Healthcare clients, improving key metrics by 10%.
- Optimized API services for EdTech clients, improving key metrics by 50%.
- Implemented API services for Media clients, improving key metrics by 20%.
- Tech: MLflow, GCP, TensorFlow, Vector databases, Azure.

    Skills: CI/CD, Feature engineering, GCP, MLflow, Model deployment, Monitoring, RAG, SageMaker, TensorFlow, Vector databases, Vertex AI, scikit-learn
    Education: MS in Data Science"
CAND-1017,Aarthi Smith,frontend,Frontend Engineer,0,Junior,"San Francisco, CA",Requires Sponsorship,Cybersecurity,Accessibility;CSS;Cypress;HTML;JavaScript;Next.js;REST APIs;React;Redux;Tailwind;Testing Library,Associate,Mathematics,2026-01-14,"Aarthi Smith — Frontend Engineer
    Location: San Francisco, CA
    Summary: Frontend Engineer with 0 years of experience in Cybersecurity. Strong in Accessibility, CSS, Cypress, HTML.

    Experience:
    Initech (Cybersecurity) — Frontend Engineer
    - Deployed ETL pipelines for Healthcare clients, improving key metrics by 50%.
- Analyzed experiment frameworks for Insurance clients, improving key metrics by 15%.
- Analyzed LLM-powered assistants for Cybersecurity clients, improving key metrics by 25%.
- Deployed retrieval pipelines for Logistics clients, improving key metrics by 15%.
- Delivered retrieval pipelines for Healthcare clients, improving key metrics by 20%.
- Tech: REST APIs, Next.js, Figma, Accessibility, HTML.

    Skills: Accessibility, CSS, Cypress, HTML, JavaScript, Next.js, REST APIs, React, Redux, Tailwind, Testing Library
    Education: Associate in Mathematics"
CAND-1018,Olivia Martinez,data_analyst,Analytics Engineer,1,Junior,"Dallas, TX",Requires Sponsorship,FinTech,A/B testing;Airflow;Data modeling;ETL;Jupyter;NumPy;Pandas;PostgreSQL;Power BI;Python;Snowflake,MS,Data Science,2025-04-15,"Olivia Martinez — Senior Data Analyst
    Location: Dallas, TX
    Summary: Senior Data Analyst with 1 years of experience in FinTech. Strong in A/B testing, Airflow, Data modeling, ETL.

    Experience:
    Hooli (FinTech) — Senior Data Analyst
    - Analyzed fraud detection models for Logistics clients, improving key metrics by 2x.
- Implemented ETL pipelines for E-commerce clients, improving key metrics by 20%.
- Deployed retrieval pipelines for Cybersecurity clients, improving key metrics by 10%.
- Tech: Tableau, Pandas, ETL, BigQuery, Data visualization.

    Skills: A/B testing, Airflow, Data modeling, ETL, Jupyter, NumPy, Pandas, PostgreSQL, Power BI, Python, Snowflake
    Education: MS in Data Science"
CAND-1019,Casey Patel,ml_engineer,ML Engineer,6,Senior,"New York, NY",Requires Sponsorship,Logistics,AWS;Chroma;Docker;GCP;Pinecone;PyTorch;Python;TensorFlow,Bootcamp,Electrical Engineering,2025-06-29,"Casey Patel — Applied Scientist
    Location: New York, NY
    Summary: Applied Scientist with 6 years of experience in Logistics. Strong in AWS, Chroma, Docker, GCP.

    Experience:
    Initech (Logistics) — Applied Scientist
    - Migrated vector indexes for Healthcare clients, improving key metrics by 25%.
- Improved data quality checks for EdTech clients, improving key metrics by 15%.
- Automated vector indexes for E-commerce clients, improving key metrics by 35%.
- Automated LLM-powered assistants for Logistics clients, improving key metrics by 25%.
- Migrated experiment frameworks for Cybersecurity clients, improving key metrics by 20%.
- Tech: PyTorch, Feature engineering, GCP, scikit-learn, FastAPI.

    Skills: AWS, Chroma, Docker, GCP, Pinecone, PyTorch, Python, TensorFlow
    Education: Bootcamp in Electrical Engineering"
CAND-1020,Jordan Wilson,frontend,Frontend Engineer,6,Senior,Remote,Requires Sponsorship,Insurance,Accessibility;CSS;Cypress;Figma;HTML;JavaScript;Next.js;REST APIs;React;Redux;Tailwind;TypeScript,BS,Computer Science,2025-04-05,"Jordan Wilson — Frontend Engineer
    Location: Remote
    Summary: Frontend Engineer with 6 years of experience in Insurance. Strong in Accessibility, CSS, Cypress, Figma.

    Experience:
    Initech (Insurance) — Frontend Engineer
    - Analyzed dashboards for Healthcare clients, improving key metrics by 15%.
- Optimized ETL pipelines for Healthcare clients, improving key metrics by 25%.
- Implemented forecasting pipelines for Media clients, improving key metrics by 10%.
- Deployed LLM-powered assistants for Cybersecurity clients, improving key metrics by 25%.
- Tech: Next.js, Redux, Testing Library, React, Tailwind.

    Skills: Accessibility, CSS, Cypress, Figma, HTML, JavaScript, Next.js, REST APIs, React, Redux, Tailwind, TypeScript
    Education: BS in Computer Science"
CAND-1021,Nandita Moore,genai,Senior AI Engineer,2,Junior,"Austin, TX",No Sponsorship Needed,Logistics,Azure OpenAI;Docker;Evaluation;FAISS;Kubernetes;LangChain;LangGraph;OpenAI API;Pinecone;Prompt engineering;Python;RAG;Vector databases;Vertex AI,PhD,Data Science,2025-05-08,"Nandita Moore — Senior AI Engineer
    Location: Austin, TX
    Summary: Senior AI Engineer with 2 years of experience in Logistics. Strong in Azure OpenAI, Docker, Evaluation, FAISS.

    Experience:
    Wonka Digital (Logistics) — Senior AI Engineer
    - Optimized monitoring alerts for Retail clients, improving key metrics by 50%.
- Optimized experiment frameworks for FinTech clients, improving key metrics by 15%.
- Automated monitoring alerts for Retail clients, improving key metrics by 25%.
- Migrated vector indexes for Cybersecurity clients, improving key metrics by 2x.
- Tech: LLMs, Vector databases, Vertex AI, Evaluation, Kubernetes.

    Skills: Azure OpenAI, Docker, Evaluation, FAISS, Kubernetes, LangChain, LangGraph, OpenAI API, Pinecone, Prompt engineering, Python, RAG, Vector databases, Vertex AI
    Education: PhD in Data Science"
CAND-1022,Rahul Patel,data_analyst,Senior Data Analyst,11,Senior,"Dallas, TX",US Citizen,Retail,BigQuery;Dashboarding;Data modeling;Data visualization;ETL;Excel;Jupyter;Looker;NumPy;Power BI;Python;Snowflake;Statistics;dbt,Bootcamp,Electrical Engineering,2025-03-31,"Rahul Patel — Data Analyst
    Location: Dallas, TX
    Summary: Data Analyst with 11 years of experience in Retail. Strong in BigQuery, Dashboarding, Data modeling, Data visualization.

    Experience:
    Umbrella Health (Retail) — Data Analyst
    - Deployed fraud detection models for Retail clients, improving key metrics by 35%.
- Designed experiment frameworks for Cybersecurity clients, improving key metrics by 35%.
- Implemented monitoring alerts for FinTech clients, improving key metrics by 10%.
- Built data quality checks for Logistics clients, improving key metrics by 20%.
- Automated data quality checks for E-commerce clients, improving key metrics by 15%.
- Tech: A/B testing, Jupyter, PostgreSQL, Looker, Data modeling.

    Skills: BigQuery, Dashboarding, Data modeling, Data visualization, ETL, Excel, Jupyter, Looker, NumPy, Power BI, Python, Snowflake, Statistics, dbt
    Education: Bootcamp in Electrical Engineering"
CAND-1023,Sam Anderson,data_analyst,BI Analyst,10,Senior,"Chicago, IL",H1B,Cybersecurity,A/B testing;Airflow;Dashboarding;Data modeling;Data visualization;Excel;Jupyter;NumPy;Pandas;Power BI;SQL;dbt,BS,Statistics,2025-04-16,"Sam Anderson — BI Analyst
    Location: Chicago, IL
    Summary: BI Analyst with 10 years of experience in Cybersecurity. Strong in A/B testing, Airflow, Dashboarding, Data modeling.

    Experience:
    Hooli (Cybersecurity) — BI Analyst
    - Deployed forecasting pipelines for Insurance clients, improving key metrics by 10%.
- Migrated forecasting pipelines for Insurance clients, improving key metrics by 35%.
- Migrated retrieval pipelines for Logistics clients, improving key metrics by 3x.
- Deployed dashboards for Logistics clients, improving key metrics by 15%.
- Built retrieval pipelines for Cybersecurity clients, improving key metrics by 20%.
- Tech: ETL, A/B testing, Snowflake, Data modeling, Statistics.

    Skills: A/B testing, Airflow, Dashboarding, Data modeling, Data visualization, Excel, Jupyter, NumPy, Pandas, Power BI, SQL, dbt
    Education: BS in Statistics"
CAND-1024,Mia Thomas,frontend,UI Engineer,1,Junior,Remote,H1B,Logistics,Accessibility;CSS;Cypress;Figma;HTML;JavaScript;Next.js;REST APIs;React;Redux;Tailwind;Testing Library;TypeScript,Associate,Electrical Engineering,2025-11-18,"Mia Thomas — UI Engineer
    Location: Remote
    Summary: UI Engineer with 1 years of experience in Logistics. Strong in Accessibility, CSS, Cypress, Figma.

    Experience:
    Wonka Digital (Logistics) — UI Engineer
    - Automated experiment frameworks for Cybersecurity clients, improving key metrics by 35%.
- Designed recommendation models for Retail clients, improving key metrics by 50%.
- Analyzed data quality checks for Retail clients, improving key metrics by 35%.
- Built API services for Cybersecurity clients, improving key metrics by 35%.
- Tech: CSS, Figma, Accessibility, HTML, Tailwind.

    Skills: Accessibility, CSS, Cypress, Figma, HTML, JavaScript, Next.js, REST APIs, React, Redux, Tailwind, Testing Library, TypeScript
    Education: Associate in Electrical Engineering"
CAND-1025,Sophia Wilson,data_analyst,Analytics Engineer,0,Junior,"New York, NY",F1 OPT,Insurance,A/B testing;Airflow;Dashboarding;ETL;Excel;Jupyter;NumPy;Pandas;PostgreSQL;Power BI;Python;SQL;Tableau,Associate,Information Systems,2025-06-23,"Sophia Wilson — BI Analyst
    Location: New York, NY
    Summary: BI Analyst with 0 years of experience in Insurance. Strong in A/B testing, Airflow, Dashboarding, ETL.

    Experience:
    Soylent Analytics (Insurance) — BI Analyst
    - Delivered monitoring alerts for Retail clients, improving key metrics by 2x.
- Designed forecasting pipelines for Logistics clients, improving key metrics by 15%.
- Built monitoring alerts for Insurance clients, improving key metrics by 3x.
- Improved forecasting pipelines for EdTech clients, improving key metrics by 50%.
- Tech: Tableau, Snowflake, Dashboarding, Data modeling, Python.

    Skills: A/B testing, Airflow, Dashboarding, ETL, Excel, Jupyter, NumPy, Pandas, PostgreSQL, Power BI, Python, SQL, Tableau
    Education: Associate in Information Systems"
CAND-1026,Emma White,ml_engineer,MLOps Engineer,7,Senior,"Austin, TX",Green Card,Insurance,AWS;CI/CD;Chroma;FAISS;FastAPI;Feature engineering;GCP;Kubernetes;MLflow;Python;TensorFlow;Vertex AI;scikit-learn,Associate,Information Systems,2025-08-26,"Emma White — Senior ML Engineer
    Location: Austin, TX
    Summary: Senior ML Engineer with 7 years of experience in Insurance. Strong in AWS, CI/CD, Chroma, FAISS.

    Experience:
    Acme Corp (Insurance) — Senior ML Engineer
    - Implemented recommendation models for E-commerce clients, improving key metrics by 10%.
- Designed vector indexes for E-commerce clients, improving key metrics by 20%.
- Built data quality checks for EdTech clients, improving key metrics by 50%.
- Built recommendation models for FinTech clients, improving key metrics by 10%.
- Tech: MLflow, CI/CD, RAG, scikit-learn, PyTorch.

    Skills: AWS, CI/CD, Chroma, FAISS, FastAPI, Feature engineering, GCP, Kubernetes, MLflow, Python, TensorFlow, Vertex AI, scikit-learn
    Education: Associate in Information Systems"
CAND-1027,Nina Martinez,backend,Software Engineer,9,Senior,"Austin, TX",F1 OPT,Cybersecurity,CI/CD;GCP;Java;Kafka;Kubernetes;Microservices;Python;REST APIs;Redis;Spring;Terraform;gRPC,Bootcamp,Mathematics,2026-01-04,"Nina Martinez — Backend Engineer
    Location: Austin, TX
    Summary: Backend Engineer with 9 years of experience in Cybersecurity. Strong in CI/CD, GCP, Java, Kafka.

    Experience:
    Stark Systems (Cybersecurity) — Backend Engineer
    - Implemented ETL pipelines for Logistics clients, improving key metrics by 2x.
- Delivered vector indexes for Retail clients, improving key metrics by 3x.
- Delivered customer segmentation for Cybersecurity clients, improving key metrics by 10%.
- Analyzed retrieval pipelines for Healthcare clients, improving key metrics by 15%.
- Designed vector indexes for Retail clients, improving key metrics by 50%.
- Tech: GCP, REST APIs, AWS, Kafka, CI/CD.

    Skills: CI/CD, GCP, Java, Kafka, Kubernetes, Microservices, Python, REST APIs, Redis, Spring, Terraform, gRPC
    Education: Bootcamp in Mathematics"
